,,less than a high school diploma,"high school graduates, no college","some college, no degree",associate degree,bachelor's degree,advanced degree,,
Total,Civilian noninstitutional population,"24,175","61,712","35,326","20,937","44,086","25,975",,
,Civilian labor force,"10,971","35,322","22,706","14,774","32,684","19,449",,
,Participation rate,45.4,57.2,64.3,70.6,74.1,74.9,,
,Employed,"10,098","33,402","21,573","14,213","31,772","19,020",,
,Employment-population ratio,41.8,54.1,61.1,67.9,72.1,73.2,,
,Unemployed,873,"1,920","1,134",562,912,429,,
,Unemployment rate,8.0,5.4,5.0,3.8,2.8,2.2,,
Men,Civilian noninstitutional population,"12,137","30,388","16,644","9,020","21,048","12,423",,
,Civilian labor force,"7,081","20,416","11,862","6,911","16,767","9,662",,
,Participation rate,58.3,67.2,71.3,76.6,79.7,77.8,,
,Employed,"6,573","19,302","11,293","6,660","16,323","9,453",,
,Employment-population ratio,54.2,63.5,67.9,73.8,77.6,76.1,,
,Unemployed,507,"1,114",569,251,444,210,,
,Unemployment rate,7.2,5.5,4.8,3.6,2.6,2.2,,
Women,Civilian noninstitutional population,"12,038","31,325","18,682","11,918","23,038","13,552",,
,Civilian labor force,"3,891","14,906","10,845","7,864","15,917","9,786",,
,Participation rate,32.3,47.6,58.0,66.0,69.1,72.2,,
,Employed,"3,525","14,100","10,280","7,553","15,449","9,567",,
,Employment-population ratio,29.3,45.0,55.0,63.4,67.1,70.6,,
,Unemployed,366,806,565,311,468,219,,
,Unemployment rate,9.4,5.4,5.2,4.0,2.9,2.2,,
White,Civilian noninstitutional population,"18,672","49,012","27,796","16,983","35,289","20,622",,
,Civilian labor force,"8,723","27,790","17,588","11,904","26,072","15,289",,
,Participation rate,46.7,56.7,63.3,70.1,73.9,74.1,,
,Employed,"8,128","26,508","16,820","11,501","25,395","14,984",,
,Employment-population ratio,43.5,54.1,60.5,67.7,72.0,72.7,,
,Unemployed,595,"1,282",768,404,677,304,,
,Unemployment rate,6.8,4.6,4.4,3.4,2.6,2.0,,
Black or African American,Civilian noninstitutional population,"3,271","8,566","5,135","2,580","3,801","2,116",,
,Civilian labor force,"1,228","5,035","3,526","1,891","2,967","1,633",,
,Participation rate,37.5,58.8,68.7,73.3,78.0,77.2,,
,Employed,"1,033","4,549","3,242","1,775","2,850","1,567",,
,Employment-population ratio,31.6,53.1,63.1,68.8,75.0,74.1,,
,Unemployed,196,486,284,115,116,66,,
,Unemployment rate,15.9,9.7,8.0,6.1,3.9,4.0,,
Asian,Civilian noninstitutional population,"1,217","2,385","1,165",754,"4,013","2,760",,
,Civilian labor force,497,"1,402",763,545,"2,849","2,144",,
,Participation rate,40.8,58.8,65.5,72.3,71.0,77.7,,
,Employed,470,"1,344",737,528,"2,759","2,096",,
,Employment-population ratio,38.6,56.4,63.2,70.0,68.7,75.9,,
,Unemployed,27,57,26,17,90,48,,
,Unemployment rate,5.4,4.1,3.4,3.1,3.2,2.3,,
Hispanic or Latino,Civilian noninstitutional population,"10,094","9,261","4,401","2,373","3,494","1,592",,
,Civilian labor force,"5,986","6,444","3,295","1,817","2,798","1,278",,
,Participation rate,59.3,69.6,74.9,76.6,80.1,80.3,,
,Employed,"5,592","6,064","3,119","1,739","2,694","1,242",,
,Employment-population ratio,55.4,65.5,70.9,73.3,77.1,78.0,,
,Unemployed,394,379,175,78,104,36,,
,Unemployment rate,6.6,5.9,5.3,4.3,3.7,2.8,,
